documento,item_a_conferir,fonte_de_checagem,criticidade,status
"01 Oslo","Fls. 1421-1423 (declaração de iliquidez) — número e teor","Autos 1006744-58.2023 (esaj.tjsp.jus.br)","ALTA","PENDENTE"
"01 Oslo","Fls. 1281-1346 (Acordo de Cotistas) e redação literal da Cláusula 9.7","Autos","ALTA","PENDENTE"
"01 Oslo","CNPJ e % TPF do Oslo Soberano FIF RF Simples (consta 62.194.627/0001-88; 99,29%)","CVM / ANBIMA","MÉDIA","PENDENTE"
"01 Oslo","Artigos específicos da RCVM 175/2022 sobre deveres do administrador","Resolução CVM 175/2022","MÉDIA","PENDENTE"
"01 Oslo","PL do FIP Ajaccio na data da notificação","Informe CVM","BAIXA","PENDENTE"
"02 Empresas","Data exata do ajuizamento do divórcio (define fraude contra credores CC 158 vs fraude à execução CPC 792)","Autos","ALTA","PENDENTE"
"02 Empresas","CNPJ da Víssimo e da RT127 (consta NIRE 35.238.272.663)","JUCESP / RFB","ALTA","PENDENTE"
"02 Empresas","Valor e destino da cisão 31/12/2021 (R$ 57.180.967,46)","JUCESP / autos","ALTA","PENDENTE"
"02 Empresas","Datas: reeleição 09/05/2024; demissão 02/12/2024; petição receita zero 05/12/2024","Autos / JUCESP","ALTA","PENDENTE"
"02 Empresas","Non-compete R$ 749.183,38 (29/01/2025) e contrato Vila Porto (01/07/2025)","Autos / comprovantes","MÉDIA","PENDENTE"
"02 Empresas","Extrato bancário do MEI Apoio Adm. (para §5 — fluxo de repasse)","Quebra de sigilo / autos","MÉDIA","PENDENTE"
"02 Empresas","Redação da Cláusula 10.1.7 (não-concorrência)","Acordo de Cotistas (fls.)","MÉDIA","PENDENTE"
"03 Cotistas","CONDIÇÃO EXATA de cada fundo: cotista DO Ajaccio ou fundo EM QUE Ari é cotista?","Autos / Acordo de Cotistas","CRÍTICA","PENDENTE"
"03 Cotistas","Administração/gestão e CNPJ de Volimo, XPA Trafalgar, Avila, Sharp","CVM","MÉDIA","PENDENTE"
"04 Falsum","Redação literal da ata 31/12/2021: afirma presença FÍSICA e função de secretário?","JUCESP (ata)","CRÍTICA","PENDENTE"
"04 Falsum","Atribuição da autoria da inserção falsa ao Requerido","Ata + metadados DocuSign","ALTA","PENDENTE"
"04 Falsum","Enquadramento documento público vs particular (CP 299 caput vs parágrafo único)","Doutrina / JUCESP","MÉDIA","PENDENTE"
"04 Falsum","Cadeia de viagem: teste COVID 31/12/2021 14h56; cartão Copa MIA-PTY-GRU 01/01/2022; SMS; hospedagem","Documentos da Requerente","ALTA","PENDENTE"
"05 CVM","Eixo iliquidez corrigido (capacidade operacional, não comparação de mandatos)","Revisão 00 Seção 1","ALTA","APLICAR"
"05 CVM","Caixa residual R$ 5.812,88 e marcação a valor justo","Informe CVM do Ajaccio","MÉDIA","PENDENTE"
"05 CVM","Artigos específicos da RCVM 175 + Anexo Normativo III (FIP)","Resolução CVM 175/2022","MÉDIA","PENDENTE"
"06 ANBIMA","Confirmar adesão de Oslo, Vinci e BTG aos Códigos ANBIMA na função aplicável","Portal ANBIMA","ALTA","PENDENTE"
"06 ANBIMA","Dispositivos específicos do Código de Administração de Recursos de Terceiros","Códigos ANBIMA","MÉDIA","PENDENTE"
"07 FATCA/UBO","Eixo reordenado: UBO/CRS principal (IN RFB 2.119/2022), FATCA subsidiário","Revisão 00 Seção 7","ALTA","APLICADO"
"07 FATCA/UBO","CNPJs completos de Anacapri, Brescia, Cetara","RFB","MÉDIA","PENDENTE"
"07 FATCA/UBO","Art. 14 §2º do Regulamento (GIIN 0W2JW5.99999.SL.076)","Regulamento do FIP","MÉDIA","PENDENTE"
"07 FATCA/UBO","DIRIMIR contradição da titularidade da JP2R PTE LTD antes do protocolo","Autos / cooperação","ALTA","PENDENTE"
"TODAS","Sequenciamento: indisponibilidade judicial ANTES das notificações extrajudiciais (anti tip-off)","Estratégia com advogado","CRÍTICA","DECIDIR"
"TODAS","Requerer prioridade de tramitação (CPC 1.048; Lei 13.146/2015) se configurada","Juízo da partilha","MÉDIA","DECIDIR"
"TODAS","Preencher OAB dos subscritores e papel timbrado","Advocacia","BAIXA","PENDENTE"
