instrumento,ano,decreto_brasileiro,dispositivo_chave,obrigacao_dirigida_ao_estado,aplicacao_ao_caso
"Convenção sobre a Eliminação de Todas as Formas de Discriminação contra a Mulher (CEDAW)",1979,"Decreto 4.377/2002","Arts. 2º e 15","Adotar medidas legislativas e administrativas para eliminar a discriminação contra a mulher; assegurar igualdade perante a lei","Funda o dever de arquitetura jurisdicional não discriminatória"
"Recomendação Geral 19 do Comitê CEDAW",1992,"—","Reconhece violência baseada em gênero como discriminação","Devida diligência para prevenir, investigar e punir","Base interpretativa para acesso à justiça unificado"
"Recomendação Geral 35 do Comitê CEDAW",2017,"—","Atualização da RG 19","Assegurar acesso efetivo à justiça evitando vitimização secundária — exige unidade de juízo quando tecnicamente possível","Fundamento direto para vis attractiva temática"
"Convenção Interamericana para Prevenir Punir e Erradicar a Violência contra a Mulher (Belém do Pará)",1994,"Decreto 1.973/1996","Art. 7º b e f","Agir com devida diligência para prevenir investigar e punir; estabelecer procedimentos judiciais justos e eficazes","Norma de matriz da Lei 11.340/2006 — guia hermenêutico do art. 14"
"Caso Maria da Penha Maia Fernandes v. Brasil",2001,"CIDH Caso 12.051 — Relatório 54/2001","Reconhecimento de tolerância judicial sistemática","Reforma legislativa e estrutural","Origem histórica da Lei Maria da Penha — vincula interpretação convencional"
"Caso González e outras (Campo Algodonero) v. México",2009,"Corte IDH — Sentença 16/11/2009","Conceito de devida diligência reforçada","Arquiteturas processuais que evitem vitimização institucional","Precedente vinculante via controle de convencionalidade (RE 466.343/STF)"
"Caso Jessica Lenahan (Gonzales) v. Estados Unidos",2011,"CIDH Caso 12.626 — Relatório 80/2011","Omissão estatal na execução de medidas protetivas configura violação convencional","Eficácia material das medidas protetivas","Fundamento para Tese 5: declínio de competência não suspende protetivas"
"Convenção do Conselho da Europa para a Prevenção e o Combate à Violência contra as Mulheres e a Violência Doméstica (Convenção de Istambul)",2011,"NÃO ratificada pelo Brasil","Arts. 49-58 — proteção integrada","Devida diligência, acesso à justiça, cooperação interinstitucional","Referência interpretativa (soft law) — não vinculante"
"Constituição da República",1988,"—","Art. 5º XXXV LIII LV LXXVIII; art. 226 §8º; art. 227","Inafastabilidade da jurisdição; juiz natural; ampla defesa; duração razoável; proteção da família; prioridade da criança","Núcleo constitucional do dever de unidade jurisdicional"
"Princípio da Proibição da Proteção Insuficiente (Untermassverbot)",1993,"BVerfGE 88 203 (matriz alemã); recepcionado pelo STF","Doutrina","Estado viola direitos fundamentais quando atua de forma deficiente","Núcleo dogmático da tese principal"
