codigo,significado_literal,o_que_prova,ha_ativo,acao_juridica_recomendada
00,"Resposta negativa — não é cliente / só contas inativas / não é responsável pela custódia",Sem relacionamento,Não,"Aceitar se coerente com histórico; suspeitar se houve 32 anterior (encerramento)"
01,"Cumprida integralmente",Transferência/desbloqueio concluído,—,"Conferir extrato de cumprimento"
02,"Réu/executado sem saldo positivo","É cliente, mas saldo zero",Não (conta existe),"Pedir extrato 12 meses — saldo zero hoje pode ter sido alto recentemente"
03,"Cumprida parcialmente por insuficiência de saldo",Bloqueio parcial em conta corrente,Sim (pouco),"Reiterar a ordem; pedir histórico"
12,"Cumprida integralmente afetando depósito a prazo",Bloqueio em aplicação a prazo,Sim,"Confirmar valor; verificar resgates anteriores"
13,"Cumprida parcialmente afetando depósito a prazo, títulos ou valores mobiliários",Bloqueio parcial em VM,Sim,"Pedir detalhamento de carteira por CNPJ de fundo"
16,"Cumprida integralmente em outras instituições do agrupamento",Atendida por outra empresa do grupo,Sim (no grupo),"Mapear o grupo econômico"
25,"Bloqueio em ativo escriturado ou por instituição sem comando para venda",Cota/ativo de fundo escriturado,Sim,"Requisitar ordem de venda; ofício à CVM/B3"
26,"Bloqueio em ativo de baixa liquidez",Cota de fundo / ativo ilíquido,Sim,"Avaliar liquidação forçada; perícia de valor justo"
30,"Resposta negativa — não possui as informações requisitadas",Sem dado na pesquisa,Não,"Reformular ordem com CNPJ correto"
32,"Cumprida considerando as informações existentes",Resposta positiva com dados,Sim/zero (informa saldo),"Código mais informativo — base do mapeamento patrimonial"
35,"Cliente inativo ou não cliente",Inativo,Não,"Conferir data de encerramento"
98,"Não-Resposta",Silêncio da instituição,Indeterminado,"REITERAR obrigatoriamente; ofício individualizado; representação ao BACEN se persistir"
