id,fluxo_ou_eixo_contabil,origem,destino,valor_R$,natureza_contabil,enquadramento_em_tese,diligencia,status_validacao
"F1","Cisao E-Vino -> RT127 -> FRAM XIV FIP","E-Vino (17.392.519/0001-65)","RT127 (44.548.365/0001-20) -> FRAM Capital XIV FIP (37.388.102/0001-36)","57.180.967,46","Reducao de capital / transferencia de participacao","Fraude contra credores (CC 158) — pre-ajuizamento","JUCESP + extratos; rastrear destino ultimo (Wine in Black/Berlim?)","ELO RT127->FRAM XIV RESOLVIDO Doc 97"
"F2","Repasse operacional -> conta-tubo","E-Vino","Ari Apoio Adm. (17.867.118/0001-14)","[a apurar — extratos]","Despesa/servico com saldo de passagem","Confusao patrimonial / IDPJ (CC 50)","Extrato bancario do MEI + da E-Vino","COERENTE c/ IR (Doc 95); CONFERIR extrato"
"F3","Conta-tubo -> pessoa fisica","Ari Apoio Adm.","Requerido (PF)","[a apurar — extratos]","Distribuicao/PIX/TED em <24h","Confusao patrimonial (CC 50)","Extrato PF e PJ","CONFERIR extrato"
"F4","Non-compete","E-Vino / ecossistema","Requerido (PF)","749.183,38","Multa de nao-concorrencia (Clausula 10.1.7)","Contraprestacao na constancia (comunicavel)","Comprovante + Acordo de Cotistas","CONFIRMADO tese Doc 95/97"
"F5","Uso do non-compete","Requerido (PF)","Aquisicao imobiliaria (Pluri Pinheiros)","382.362,37","Pagamento a vista","Incompativel com alegacao de miserabilidade","Comprovante de aquisicao","CONFIRMADO Doc 95/97; meacao 191.181,19"
"F6","Bloqueio SISBAJUD localizado","Instituicoes financeiras","Conta judicial","84.856.714,65 (localizado 18/05/2023) / 42.428.357,32 (bloqueio efetivo 02/05/2023)","Constricao de ativos","Reflexo direto da meacao","Autos / SISBAJUD","CONFERIDO autos; datas padronizadas Doc 97"
"F6b","Laudo Mansano CN-46 (anomalia SISBAJUD)","Instituicao financeira","(resposta anomala)","—","Codigo de retorno (30) falso; FRAM como destino anomalo","Indicio de ocultacao ativa","Laudo CN-46 16/05/2023 + logs SISBAJUD","ACRESCENTADO Doc 97 (cf. Doc 95)"
"F7","Desbloqueio sem ordem (a apurar)","BTG Pactual","Contas do Requerido","2.960.039,61","Liberacao administrativa","Possivel descumprimento (CPC 77)","Protocolo SISBAJUD + autos","CONFERIR"
"F8","Retencao sem envio","BTG Pactual","(retido)","31.925.193,31","Bloqueio efetuado nao transferido","Possivel descumprimento (CPC 77)","ID SISBAJUD + autos","CONFIRMADO Doc 89/97 (Ag.0001 Cta.110486)"
"F9","Mutuo conversivel","Volimo FIP (36.642.430/0001-54)","E-Vino (acoes)","[a apurar]","Mutuo conversivel em acoes","Diluicao em janela de litigio","CVM + Acordo","CONFERIR"
"F10","Aporte/subscricao em litispendencia","Cessionario / Bonifacio FIP (59.402.540/0001-44)","E-Vino (acoes novas)","[a apurar; Equity Value declarado R$ 100 mi]","Subscricao de capital","Conflito de interesse / diluicao","CVM","CONFERIR (cf. Operacao Ricardo Doc 90)"
"F11","Divida externa","Requerido (PF)","Wine in Black GmbH (Berlim)","EUR 2.276.136,00","Passivo pessoal no exterior","Origem de passivo artificial a apurar — NAO abater da meacao antes","Carta credor + CBE/BACEN","CONFERIR origem"
"F12","Participacao offshore (cotistas)","Anacapri (43.028.251/0001-97) / Brescia / Cetara","FIP Ajaccio (cotas)","[a apurar]","Participacao de nao residente","UBO (IN RFB 2.119/2022) / CRS","RFB + Acordo de Cotistas (minuta 07)","CONFERIR"
"F13","Cotas diretas do Requerido no Ajaccio","FIP Ajaccio","Requerido (PF) - Classes A+F","62,4 a 69,7 milhoes (4,42%)","Participacao patrimonial direta","Base de meacao adicional ~R$ 31-35 mi (nao tutelada pelo bloqueio)","Ficha de cotistas CVM/OSLO","QUANTIFICADO Doc 90/95/97"
"F14","Oneracao Samauma ao BTG (grupo)","FIP Floresta / Samauma (41.131.748/0001-00)","BTG Pactual (alienacao fiduciaria 100% acoes)","180.000.000,00","Emissao de notas comerciais c/ garantia real","Oneracao 26 dias antes do bloqueio; clausula 10.8 (Comite)","Oliveira Trust/BTG + ata Comite","ACRESCENTADO Doc 97 (cf. Doc 91)"
