camada,entidade,cnpj_ou_id,tipo,atributo_contabil_chave,liquidez,vinculo_ao_caso,fonte_oficial,status
"0 Fase FRAM","FRAM Capital XIII FIP Multiestrategia (nome originario do Ajaccio)","37.381.595/0001-82","FIP","Mesmo CNPJ do Ajaccio; constituido 03/06/2020; renomeado Ajaccio em 2022","Baixa","Amplia janela de rastreamento; espelha rebranding FRAM->OSLO","Regulamento ger.1 (Doc 92)","CONFIRMADO"
"0 Fase FRAM","FRAM Capital Gestao de Ativos","08.157.028/0001-49","Gestora","Gestora ORIGINAL 2020-2022 (antes da Vinci)","—","Elo da fase FRAM","CNPJ-check (Doc 92)","CONFIRMADO"
"0 Fase FRAM","FRAM Capital XIV FIP","37.388.102/0001-36","FIP","Aberto no mesmo dia; recebeu RT127 na cisao de 01/04/2022; hoje baixado","Baixa","Elo da cisao R$ 57,18 MM (destino RT127->FRAM XIV)","CNPJ-check (Doc 92)","CONFIRMADO"
"0 Fase FRAM","FRAM Capital Participacoes S.A.","08.907.334/0001-55","Holding","Holding de topo (dir. Cesare Rivetti); baixada","—","Topo da fase FRAM","CNPJ-check (Doc 92)","CONFIRMADO"
"0 Fase FRAM","Ajaccio FIC FIM Inv. Exterior","33.701.444/0001-03","FIC FIM","Feeder predecessor; baixado","—","Estrutura anterior ao rebranding","CNPJ-check (Doc 92)","CONFIRMADO"
"2 Concentração","FIP Ajaccio Multiestrategia","37.381.595/0001-82","FIP","PL ~R$ 1,53-1,57 bi; 100% companhia fechada; caixa residual R$ 5.812,88 (nov/2025)","Baixa (RCVM 175 Anexo III)","No central — cotas do Requerido sob constricao","CVM / KPMG / Doc 92","CONFIRMADO"
"2 Concentração","Volimo FIP","36.642.430/0001-54","FIP","Mutuo conversivel em acoes E-Vino","Baixa","Conversao em janela proxima ao litigio","CVM / Doc 22","CONFIRMADO"
"2 Concentração","Bonifácio FIP","59.402.540/0001-44","FIP","Constituido 11/02/2025 (litispendencia)","Baixa","Reorganizacao em curso de litigio","CVM / Docs 42, 90-93","CONFIRMADO"
"2 Concentração","XPA Trafalgar FIP","[CONFERIR]","FIP","Papel: cotista do Ajaccio ou veiculo do Requerido?","Baixa","Define a NT Cotistas","CVM","CONFERIR papel"
"2 Concentração","Avila FIP","[CONFERIR]","FIP","Idem","Baixa","Idem","CVM","CONFERIR papel"
"2 Concentração","Sharp Long Biased FIP","[CONFERIR]","FIP","Idem","Variável","Idem","CVM","CONFERIR papel"
"3 Operacional","E-Vino Comércio de Vinhos S.A.","17.392.519/0001-65","S.A. fechada","Capital R$ 538.375.087,14; matriz 18/12/2012; 12 filiais (5 baixadas); faturamento ~R$ 800 MM (2026)","Alta (operacional)","Unico ativo do Ajaccio; cisao 31/12/2021","CNPJ-check (Doc 92) / CVM","CONFIRMADO"
"3 Operacional","Grand Cru Importadora","[CONFERIR]","Ltda","Adquirida pela E-Vino (2021, aprovacao CADE)","Alta","Cluster operacional","JUCESP / CADE","CONFERIR CNPJ"
"3 Operacional","Agro Syrah Participacoes S.A. (Vissimo)","23.699.696/0001-91","S.A./holding","Holding operacional do grupo","Alta","E-mail corporativo em ato pos-demissao","CNPJ-check (Doc 92)","CONFIRMADO"
"3 Operacional","Bev Group / Interbeverages","25.383.665/0001-52","Ltda","Operacao de bebidas; E-Vino socia","Alta","Ari administrador (09/05/2022); RPT nao divulgada (M&A 23/07/2021)","CNPJ-check (Doc 92)","CONFIRMADO"
"3 Operacional","Vila Porto International Business S.A.","[CONFERIR CNPJ]","S.A.","Contrato Ari R$ 50.000/mes (renda confessada fls. 911/940)","Alta","Renda corrente; possivel violacao de nao-concorrencia (Clausula 10.1.7)","autos 1012537-07","CONFIRMADO valor; CONFERIR CNPJ"
"4 Blindagem","Ari Gorenstein Apoio Administrativo Ltda","17.867.118/0001-14","Ltda (ME)","Saldo medio reduzido; conta-tubo; fonte pagadora de Ari no IR","Alta (conta-tubo)","Possivel confusao patrimonial (CC 50)","CNPJ-check (Doc 92) / IR Ari","CONFIRMADO (extrato a juntar)"
"4 Blindagem","RT127 Empreendimentos e Participacoes","44.548.365/0001-20","Ltda","Recebeu cisao R$ 57.180.967,46; distratada set/2023; destino RT127->FRAM XIV","—","Fraude contra credores (CC 158)","CNPJ-check/DOESP (Doc 92)","CONFIRMADO"
"4 Blindagem","SPE Abecker","[CONFERIR]","SPE","Capital ~R$ 7,18 mi; juntada 31/03/2026","Baixa (imobilizado)","Imobilizacao em vespera de audiencia","JUCESP / autos","CONFERIR"
"Eixo Carbono","Samauma / FIP Floresta","41.131.748/0001-00","FIP","Oneracao de 100% ao BTG por R$ 180 MM (06/04/2023, 26 dias antes do bloqueio)","—","Oneracao pre-bloqueio a apurar","Doc 92","CONFIRMADO"
"5 Offshore","Anacapri Investments","43.028.251/0001-97","LLC/LP (Delaware) + CNPJ BR","Cotista offshore; adm. J.P. Morgan DTVM","Opaca","Lead UBO","Acordo de Cotistas / Doc 92","CONFIRMADO"
"5 Offshore","Brescia","29.522.741/[CONFERIR]","LLC/LP (Delaware) + CNPJ BR","Cotista offshore","Opaca","Cotista (Acordo)","Acordo de Cotistas","CONFERIR final"
"5 Offshore","Cetara","29.485.363/[CONFERIR]","LLC/LP (Delaware) + CNPJ BR","Cotista offshore","Opaca","Cotista (Acordo)","Acordo de Cotistas","CONFERIR final"
"5 Offshore","JP2R PTE LTD","UEN 201840728Z (Singapura)","Pte Ltd","Titularidade CONTRADITORIA","Opaca","Ponto a dirimir — nao afirmar","ACRA Singapore","DIRIMIR"
"5 Offshore","Wine in Black GmbH","[HRB CONFERIR] (Berlim)","GmbH","Credora de €2,27 mi; hipotese de destino ultimo da cisao","—","Origem do passivo; apurar se artificial","Handelsregister","CONFERIR"
