codigo,anomalia,confianca,ancora_probatoria,enquadramento_juridico
"A1","AGE de 31/12/2021 registrada com Ari presente, mas Ari estava materialmente em Miami","ALTA","Teste COVID Nomi Health Miami-Dade coleta 31/12/2021 14h56; boarding pass retorno 01/01/2022; SMS Bradesco; hotel Treehouse; ata AGE","CP art. 299 (falsidade ideológica); CC arts. 138-165 (vício); CPC art. 792 (fraude à execução)"
"A2","Qualificação 'separação total de bens' no Acordo de Acionistas — regime real é comunhão parcial","ALTA","Acordo de Acionistas (DocuSign 5898D98A) × certidão de casamento","CC arts. 1.658-1.660 (regime real); CC art. 422 (boa-fé); CP art. 299 (falsidade)"
"A3","Cessão de 13.336.651 cotas (~4,42%) do Ajaccio a Ricardo Costa (Portugal/Espanha)","DOCUMENTADA","Carta de Intenções (DocuSign E8C1C5F0)","CPC art. 792; CC art. 1.647 (outorga uxória); MLAT BR-PT/ES"
"A4","Não-marcação do bloqueio nos relatórios financeiros do Ajaccio (KPMG 30/11/2024)","DOCUMENTAL FORTE","Notas 18, 4(f) e 8 do Relatório KPMG","Res. CVM 175/22 arts. 21 e 24; CPC 25 e 24; Lei 7.492/86 art. 6º"
"A5","Volimo FIP (R$ 200 Mi) constituído 15 dias após dívida pessoal Ari × Wine in Black €2,27 Mi","ALTA","CVM (data); carta credor Wine in Black GmbH","CPC art. 792; Lei 9.613/98"
"A6","Mútuo conversível Volimo→Evino vence em 02/01/2023 (8 dias antes do ajuizamento do divórcio)","ALTA","CVM + autos","CPC art. 792; CC arts. 158-165"
"A7","Cisão R$ 57,18 Mi Evino → RT 127 → Berlim (quitação dívida alemã)","ALTA","JUCESP + extratos","CPC art. 792; Lei 9.613/98; Lei 14.286/21"
"A8","Bonifácio FIP (11/02/2025 — litispendência) salta +261% enquanto Ajaccio cai -10,4%","ALTA","CVM (informes quadrimestrais)","Res. CVM 175/22 arts. 21 e 24 (governança fiduciária)"
"A9","OSLO alega iliquidez para meeira mas executa TED para Ari em <24h e bloq/lib em 18h","ALTA","Extratos OSLO + autos","Res. CVM 175/22; CPC art. 77; Violência patrimonial (Lei 11.340/06 art. 7º IV)"
"A10","BTG retém R$ 31,9 Mi há 33+ meses sem envio ao juízo","ALTA","Resposta SISBAJUD ID 072023000013575779","CPC arts. 77 IV e VI; Res. BACEN 4.553/17"
"A11","BTG efetua desbloqueio indevido de R$ 2,96 Mi em 11/06/2024 sem ordem","ALTA","Protocolo 20230007284473","CPC arts. 77 IV e VI; LC 105/01"
"A12","Non-compete R$ 749k → MEI → BTG → Pluri Pinheiros R$ 382k (concomitante a alegar miserabilidade)","ALTA","Comprovantes + autos revisional","CC art. 50 (confusão patrimonial); Lei 8.137/90"
"A13","22 transferências mensais R$ 30.131,57 E-Vino → MEI Apoio Admin (saldo permanente R$ 30)","ALTA","Extratos MEI + extratos E-Vino","CC art. 50; Lei 9.613/98; Lei 8.137/90"
"A14","SPE Abecker juntada 31/03/2026 — 3 dias antes da audiência revisional — R$ 7,18 Mi","ALTA","Autos + JUCESP","CPC art. 792 (fraude à execução); art. 854 CPC"
"A15","Cluster ACPE (Uruguai) + JP2R (Singapura) + Delaware LLCs + Wine in Black (Berlim) sem DCBE","INDÍCIO","Lacuna em DCBE (a confirmar)","Lei 14.286/21 art. 60; LC 105/01 art. 9º; IGA FATCA"
